
Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2014-05-16T08:27:14PDT



Main Information Table for Searching NED within 75.000 arcmin of 48.563938, -67.592281



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
72|GALEXASC J031319.73-673731.7  | 48.33223 | -67.62549 |UvS||||     |  5.658|0|0|4|0|0|0|0
73|MRSS 054-122819| 48.80010 | -67.62520 |G||||18.6r|  5.748|0|0|0|0|0|0|0
74|MRSS 054-127711| 48.44037 | -67.50839 |G||||20.0r|  5.775|0|0|0|0|0|0|0
75|GALEXASC J031359.04-674107.9  | 48.49578 | -67.68562 |G||||18.1r|  5.813|0|0|4|0|0|0|0
76|GALEXASC J031324.58-673217.4  | 48.35243 | -67.53818 |UvS||||     |  5.830|0|0|3|0|0|0|0
77|SUMSS J031328-673148| 48.36667 | -67.53011 |RadioS|||| 1.70|  5.859|1|0|2|0|0|0|0
78|GALEXASC J031313.88-673554.7  | 48.30785 | -67.59855 |UvS||||     |  5.868|0|0|3|0|0|0|0
79|GALEXASC J031314.72-673649.5  | 48.31137 | -67.61376 |UvS||||     |  5.916|0|0|4|0|0|0|0
80|GALEXASC J031517.46-673535.5  | 48.82277 | -67.59320 |UvS||||     |  5.920|0|0|3|0|0|0|0
81|GALEXASC J031512.33-673310.1  | 48.80141 | -67.55282 |UvS||||     |  5.929|0|0|4|0|0|0|0
82|MRSS 054-125276| 48.63011 | -67.49650 |G||||19.4r|  5.944|0|0|0|0|0|0|0
83|GALEXASC J031320.81-673833.4  | 48.33671 | -67.64264 |UvS||||     |  6.007|0|0|4|0|0|0|0
84|GALEXASC J031320.35-673234.8  | 48.33479 | -67.54303 |UvS||||     |  6.021|0|0|4|0|0|0|0
85|2MASX J03132288-6738543| 48.34537 | -67.64847 |G||||16.9r|  6.025|0|0|12|0|0|2|0
86|GALEXASC J031454.17-674019.7  | 48.72575 | -67.67216 |UvS||||     |  6.051|0|0|4|0|0|0|0
87|GALEXASC J031312.14-673440.7  | 48.30061 | -67.57800 |UvS||||     |  6.085|0|0|3|0|0|0|0
88|GALEXASC J031333.37-673057.2  | 48.38908 | -67.51590 |UvS||||     |  6.087|0|0|4|0|0|0|0
89|GALEXASC J031519.63-673524.6  | 48.83182 | -67.59019 |UvS||||     |  6.129|0|0|3|0|0|0|0
90|MRSS 054-125066| 48.64762 | -67.49441 |G||||19.5r|  6.178|0|0|0|0|0|0|0
91|MRSS 054-122437| 48.83371 | -67.60316 |G||||19.4r|  6.203|0|0|0|0|0|0|0
92|GALEXASC J031505.62-673933.1  | 48.77342 | -67.65921 |UvS||||     |  6.246|0|0|3|0|0|0|0
93|GALEXASC J031501.44-674000.5  | 48.75602 | -67.66682 |UvS||||     |  6.264|0|0|4|0|0|0|0
94|GALEXASC J031410.99-674147.5  | 48.54582 | -67.69654 |UvS||||     |  6.269|0|0|4|0|0|0|0
95|MRSS 054-123330| 48.75492 | -67.66779 |G||||18.7r|  6.289|0|0|0|0|0|0|0
96|GALEXASC J031437.03-672934.2  | 48.65431 | -67.49284 |UvS||||     |  6.315|0|0|3|0|0|0|0
97|GALEXASC J031440.10-674124.3  | 48.66709 | -67.69009 |UvS||||     |  6.323|0|0|4|0|0|0|0
98|GALEXASC J031334.05-674033.6  | 48.39191 | -67.67603 |UvS||||     |  6.378|0|0|4|0|0|0|0
99|GALEXASC J031459.54-674019.5  | 48.74898 | -67.67208 |G||||18.7r|  6.386|0|0|4|0|0|0|0
100|GALEXASC J031449.26-673002.5  | 48.70522 | -67.50037 |G||||18.3r|  6.395|0|0|4|0|0|0|0
101|MRSS 054-128263| 48.39948 | -67.50360 |G||||19.5r|  6.520|0|0|0|0|0|0|0
102|MRSS 054-122785| 48.81518 | -67.54043 |G||||20.0r|  6.540|0|0|0|0|0|0|0
103|GALEXASC J031306.73-673501.4  | 48.27808 | -67.58373 |UvS||||     |  6.559|0|0|4|0|0|0|0
104|GALEXASC J031358.30-672907.2  | 48.49295 | -67.48534 |UvS||||     |  6.620|0|0|3|0|0|0|0
105|SUMSS J031317-673911| 48.32217 | -67.65319 |RadioS|||| 0.81|  6.622|1|0|2|0|0|0|0
106|GALEXASC J031308.51-673723.8  | 48.28546 | -67.62330 |UvS||||     |  6.632|0|0|4|0|0|0|0
107|MRSS 054-122217| 48.85116 | -67.61288 |G||||18.3r|  6.682|0|0|0|0|0|0|0
108|MRSS 054-123362| 48.77482 | -67.51530 |G||||18.6r|  6.684|0|0|0|0|0|0|0
109|GALEXASC J031502.71-673020.4  | 48.76131 | -67.50569 |UvS||||     |  6.888|0|0|4|0|0|0|0
110|MRSS 054-125548| 48.57783 | -67.70715 |G||||18.8r|  6.899|0|0|0|0|0|0|0
111|GALEXASC J031519.19-673848.7  | 48.82998 | -67.64687 |UvS||||     |  6.904|0|0|4|0|0|0|0
112|GALEXASC J031455.37-672944.9  | 48.73125 | -67.49541 |G||||18.3r|  6.963|0|0|4|0|0|0|0
113|MRSS 054-122029| 48.86565 | -67.61478 |G||||19.0r|  7.028|0|0|0|0|0|0|0
114|GALEXASC J031427.57-674228.4  | 48.61490 | -67.70790 |UvS||||     |  7.034|0|0|4|0|0|0|0
115|GALEXASC J031441.18-672855.3  | 48.67159 | -67.48204 |UvS||||     |  7.060|0|0|3|0|0|0|0
116|GALEXASC J031315.10-673116.7  | 48.31208 | -67.52188 |G||||19.5r|  7.150|0|0|4|0|0|0|0
117|2MASX J03134175-6729083| 48.42412 | -67.48564 |G||||16.6r|  7.156|0|0|9|0|0|2|0
118|GALEXASC J031322.39-673027.3  | 48.34333 | -67.50759 |UvS||||     |  7.167|0|0|4|0|0|0|0
119|GALEXASC J031527.87-673733.7  | 48.86614 | -67.62603 |UvS||||     |  7.198|0|0|4|0|0|0|0
120|MRSS 054-121948| 48.87819 | -67.57417 |G||||17.9r|  7.272|0|0|0|0|0|0|0
121|MRSS 054-125897| 48.54899 | -67.71391 |G||||18.9r|  7.306|0|0|0|0|0|0|0
122|GALEXASC J031532.07-673535.2  | 48.88364 | -67.59311 |UvS||||     |  7.312|0|0|4|0|0|0|0
123|GALEXASC J031515.33-673059.2  | 48.81432 | -67.51644 |G||||19.7r|  7.322|0|0|4|0|0|0|0
124|GALEXASC J031529.38-673334.0  | 48.87245 | -67.55945 |UvS||||     |  7.331|0|0|4|0|0|0|0
125|MRSS 054-122889| 48.78388 | -67.68135 |G||||19.2r|  7.333|0|0|0|0|0|0|0
126|GALEXASC J031409.67-674254.4  | 48.54031 | -67.71512 |UvS||||     |  7.390|0|0|4|0|0|0|0
127|MRSS 054-127162| 48.45255 | -67.70812 |G||||19.7r|  7.400|0|0|0|0|0|0|0
128|MRSS 054-127740| 48.44309 | -67.47754 |G||||18.9r|  7.421|0|0|0|0|0|0|0
129|GALEXASC J031259.53-673336.7  | 48.24804 | -67.56020 |UvS||||     |  7.482|0|0|4|0|0|0|0
130|GALEXASC J031256.70-673510.2  | 48.23626 | -67.58618 |UvS||||     |  7.504|0|0|4|0|0|0|0
131|GALEXASC J031500.92-672921.0  | 48.75378 | -67.48912 |G||||18.5r|  7.566|0|0|4|0|0|0|0
132|MRSS 054-128359| 48.36153 | -67.69360 |G||||19.3r|  7.635|0|0|0|0|0|0|0
133|GALEXASC J031527.28-673907.8  | 48.86368 | -67.65218 |UvS||||     |  7.733|0|0|3|0|0|0|0
134|GALEXASC J031402.29-674312.3  | 48.50957 | -67.71989 |G||||18.5r|  7.757|0|0|4|0|0|0|0
135|GALEXASC J031338.62-672836.9  | 48.41096 | -67.47692 |UvS||||     |  7.760|0|0|3|0|0|0|0
136|GALEXASC J031457.63-672853.8  | 48.74017 | -67.48162 |UvS||||     |  7.772|0|0|3|0|0|0|0
137|GALEXASC J031336.44-674225.2  | 48.40423 | -67.70692 |G||||19.9r|  7.784|0|0|4|0|0|0|0
138|GALEXASC J031354.67-672800.2  | 48.47783 | -67.46673 |UvS||||     |  7.788|0|0|4|0|0|0|0
139|SUMSS J031306-673116| 48.27825 | -67.52122 |RadioS|||| 1.02|  7.810|1|0|2|0|0|0|0
140|GALEXASC J031324.83-672919.9  | 48.35349 | -67.48889 |UvS||||     |  7.858|0|0|3|0|0|0|0
141|GALEXASC J031347.37-674257.0  | 48.44741 | -67.71584 |UvS||||     |  7.876|0|0|4|0|0|0|0
142|GALEXASC J031538.13-673502.8  | 48.90888 | -67.58413 |UvS||||     |  7.906|0|0|4|0|0|0|0
143|GALEXASC J031424.18-674326.3  | 48.60078 | -67.72398 |UvS||||     |  7.946|0|0|4|0|0|0|0
144|GALEXASC J031519.03-673021.5  | 48.82930 | -67.50600 |UvS||||     |  7.986|0|0|4|0|0|0|0
145|GALEXASC J031305.00-673106.3  | 48.27084 | -67.51843 |UvS||||     |  8.045|0|0|4|0|0|0|0
146|2MASX J03125211-6737015| 48.21721 | -67.61714 |G||||16.9r|  8.065|0|0|13|0|0|2|0
147|MRSS 054-126259| 48.51678 | -67.72691 |G||||17.5r|  8.149|0|0|0|0|0|0|0
148|2MASX J03140876-6743401| 48.53633 | -67.72789 |G||||17.5r|  8.161|0|0|8|0|0|2|0
149|PMN J0314-6727| 48.65029 | -67.45967 |RadioS|||| 1.48|  8.200|2|0|3|1|0|0|0
